sport,player_name,player_key,team
nba,Nikola Jokić,nikola_jokic,
nba,Shai Gilgeous-Alexander,shai_gilgeousalexander,
nba,Luka Dončić,luka_doncic,
nba,Victor Wembanyama,victor_wembanyama,
nba,Cade Cunningham,cade_cunningham,
nba,Jaylen Brown,jaylen_brown,
nba,Jalen Duren,jalen_duren,
nba,Donovan Mitchell,donovan_mitchell,
nba,Jalen Johnson,jalen_johnson,
nba,Karl-Anthony Towns,karlanthony_towns,
nba,Chet Holmgren,chet_holmgren,
nba,Jamal Murray,jamal_murray,
nba,Tyrese Maxey,tyrese_maxey,
nba,Kevin Durant,kevin_durant,
nba,Jalen Brunson,jalen_brunson,
nba,Anthony Edwards,anthony_edwards,
nba,James Harden,james_harden,
nba,Alperen Sengun,alperen_sengun,
nba,Kawhi Leonard,kawhi_leonard,
nhl,Connor McDavid,connor_mcdavid_edm,
nhl,Nathan MacKinnon,nathan_mackinnon_col,
nhl,Nikita Kucherov,nikita_kucherov_tbl,
nhl,William Nylander,william_nylander_tor,
nhl,Jack Eichel,jack_eichel_veg,
nhl,David Pastrňák,david_pastrnak_bos,
nhl,Wyatt Johnston,wyatt_johnston_dal,
nhl,Mark Stone,mark_stone_veg,
nhl,Leon Draisaitl,leon_draisaitl_edm,
nhl,Martin Nečas,martin_necas_col,
nhl,Zach Werenski,zach_werenski_cbj,
nhl,Macklin Celebrini,macklin_celebrini_sjs,
nhl,Kirill Kaprizov,kirill_kaprizov_min,
nhl,Matt Boldy,matt_boldy_min,
nhl,Jake Guentzel,jake_guentzel_tbl,
nhl,Brock Nelson,brock_nelson_col,
nhl,Cale Makar,cale_makar_col,
nhl,Connor Bedard,connor_bedard_chi,
nhl,Jason Robertson,jason_robertson_dal,
nhl,Darren Raddysh,darren_raddysh_tbl,
MLB,Ben Rice,ben_rice_nyy,NYY
MLB,Aaron Judge,aaron_judge_nyy,NYY
MLB,Yordan Alvarez,yordan_alvarez_hou,HOU
MLB,Yandy Díaz,yandy_diaz_tbr,TBR
MLB,Jonathan Aranda,jonathan_aranda_tbr,TBR
MLB,Cody Bellinger,cody_bellinger_nyy,NYY
MLB,Shea Langeliers,shea_langeliers_oak,OAK
MLB,José Caballero,jose_caballero_nyy,NYY
MLB,Kevin McGonigle,kevin_mcgonigle_det,DET
MLB,Junior Caminero,junior_caminero_tbr,TBR
MLB,Matt Olson,matt_olson_atl,ATL
MLB,Drake Baldwin,drake_baldwin_atl,ATL
MLB,Sal Stewart,sal_stewart_cin,CIN
MLB,Andy Pages,andy_pages_lad,LAD
MLB,Nico Hoerner,nico_hoerner_chc,CHC
MLB,Elly De La Cruz,elly_de_la_cruz_cin,CIN
MLB,Michael Harris II,michael_harris_ii_atl,ATL
MLB,Max Muncy,max_muncy_lad,LAD
MLB,Ozzie Albies,ozzie_albies_atl,ATL
MLB,Shohei Ohtani,shohei_ohtani_lad,LAD
MLB,Cam Schlittler,cam_schlittler_nyy,NYY
MLB,José Soriano,jose_soriano_laa,LAA
MLB,Max Fried,max_fried_nyy,NYY
MLB,Tarik Skubal,tarik_skubal_det,DET
MLB,Ryan Weathers,ryan_weathers_nyy,NYY
MLB,Gavin Williams,gavin_williams_cle,CLE
MLB,Parker Messick,parker_messick_cle,CLE
MLB,Seth Lugo,seth_lugo_kcr,KCR
MLB,Will Warren,will_warren_nyy,NYY
MLB,Nick Martinez,nick_martinez_tbr,TBR
MLB,Chris Sale,chris_sale_atl,ATL
MLB,Tyler Glasnow,tyler_glasnow_lad,LAD
MLB,Mitch Keller,mitch_keller_pit,PIT
MLB,Carmen Mlodzinski,carmen_mlodzinski_pit,PIT
MLB,Paul Skenes,paul_skenes_pit,PIT
MLB,Braxton Ashcraft,braxton_ashcraft_pit,PIT
MLB,Jacob Misiorowski,jacob_misiorowski_mil,MIL
MLB,Yoshinobu Yamamoto,yoshinobu_yamamoto_lad,LAD
MLB,Bryce Elder,bryce_elder_atl,ATL
MLB,Randy Vásquez,randy_vasquez_sdp,SDP
